Ticket Type,Check-In Date,IP Location,Attendee Status,What size?,Job Title,gender,genderProbability
Early Bird - Individual Ticket,,Germany,Attending,Men's Medium,Coder,male,0.98
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Chief Executive Officer,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Assistant Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Chief Executive Officer,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Assistant Manager,male,0
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,1
Early Bird - Individual Ticket,,"Zagreb, Croatia",Attending,Men's Medium,Student,male,0.76
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,Programmer,male,0.99
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's XL,-,male,1
Early Bird - Individual Ticket,,"Gliwice, Poland",Attending,Men's Large,Machine Learning Engineer,male,0
Early Bird - Corporate Ticket,,"Wrocław, Poland",Attending,Men's Large,Data Scientist,male,1
Early Bird - Individual Ticket,,"Wandsworth, United Kingdom",Attending,Men's XL,Principal Software Engineer,male,0.84
Early Bird - Corporate Ticket,,"Poznan, Poland",Attending,Men's Medium,Associate Data Scientist,male,1
Individual Ticket,,"Bad Honnef, Germany",Attending,,Student,male,0.97
Individual Ticket,,"Bad Honnef, Germany",Attending,,Masters Student,male,0.97
Individual Ticket,,"Warsaw, Poland",Attending,Men's XL,Data Analyst,male,1
Corporate Ticket,,"Furth, Germany",Attending,Men's Large,Data Developer,male,0.99
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Senior specialist,male,0.99
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Women's Large,Junior Developer,female,0.98
Corporate Ticket,,"Krakow, Poland",Attending,Men's Medium,Head of User Intelligence,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,,Junior Developer,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,asdasdad,male,0.81
Corporate Ticket,,"Berlin, Germany",Attending,,Fullstack Engineer,female,0.98
Corporate Ticket,,"Berlin, Germany",Attending,,ROI Controlling & Reporting Specialist,male,1
Corporate Ticket,,"Berlin, Germany",Attending,,Fullstack Engineer,male,0.99
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0.93
Corporate Ticket,,"Berlin, Germany",Attending,,BI Engineer,male,0.95
Corporate Ticket,,"Berlin, Germany",Attending,,MicroStrategy Expert,male,1
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Junior Data Scientist,male,0.99
Early Bird - Corporate Ticket,,"Poznan, Poland",Attending,Men's Medium,Senior Data Scientist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Small,Data Scientist,male,0.95
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,0.99
Corporate Ticket,,Unknown Location,Attending,Men's Medium,Senior IT Professional,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Men's Medium,software developer,male,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Small,Data Scientist,male,0.95
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Men's Large,software developer,male,0.98
Corporate Ticket,,"Krakow, Poland",Attending,Men's Large,software developer,male,0.98
Early Bird - Corporate Ticket,,United Kingdom,Not Attending,Men's Large,Principal Data Scientist,male,0.9
Corporate Ticket,,"Berlin, Germany",Attending,,Customer Analyst,male,1
Individual Ticket,,"Paris, France",Attending,Women's Large,Data Scientists,female,0.98
Individual Ticket,,"Paris, France",Attending,Men's Large,Data Scientist,male,1
Corporate Ticket,,"Chorzów, Poland",Attending,Women's Small,DWH Developer,female,0.98
Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,Student,male,0.99
Individual Ticket,,Poland,Attending,Women's Small,Owner,female,0.98
Individual Ticket,,"Warsaw, Poland",Attending,Women's Medium,Managing Director,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,data engineer,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,data scientist,male,1
Individual Ticket,,"Gdańsk, Poland",Attending,Women's Large,Python Programmer,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Specialist,male,0.99
Individual Ticket,,Unknown Location,Attending,Men's Medium,Business,male,0.97
Corporate Ticket,,"Frankfurt am Main, Germany",Attending,,aaaaaa,male,0.61
Individual Ticket,,"Lidzbark Warmiński, Poland",Attending,Men's Medium,Data Analyst,male,0
Individual Ticket,,"Delhi, India",Attending,Men's Medium,Data Scientist,male,0.9
Individual Ticket,,"Lodz, Poland",Attending,Men's Large,Research Specialist,male,0
Individual Ticket,,"Krakow, Poland",Attending,Women's Medium,Data Scientist,female,0.98
